PID,DEPT,YEAR,TERM,DIV,SUBJ,SCORE_NUM,SCORE_STR,EMP,MM_all_subj,MM_per_subj
0,영화애니메이션학과,2010,11,전공,2D디지털애니메이션 2,2.5,C+,1,0.4286,1.0
1,영화애니메이션학과,2010,11,전공,라이프드로잉,4.0,A0,1,0.8571,1.0
2,영화애니메이션학과,2010,11,전공,애니메이션편집,4.0,A0,1,0.8571,1.0
3,영화애니메이션학과,2010,11,전공,영상연출의이해,4.0,A0,1,0.8571,1.0
4,영화애니메이션학과,2010,11,전공,컴퓨터그래픽기초,3.0,B0,1,0.5714,1.0
5,영화애니메이션학과,2010,21,전공,2D디지털애니메이션워크숍1,3.5,B+,1,0.7143,1.0
6,영화애니메이션학과,2010,21,전공,동작표현연구2,4.0,A0,1,0.8571,1.0
7,영화애니메이션학과,2010,21,전공,스토리보드,4.5,A+,1,1.0,1.0
8,영화애니메이션학과,2010,21,전공,애니메이션기초,4.0,A0,1,0.8571,1.0
9,영화애니메이션학과,2010,21,전공,애니메이션사운드1,4.0,A0,1,0.8571,1.0
10,영화애니메이션학과,2010,21,전공,애니메이션시나리오,4.0,A0,1,0.8571,1.0
11,영화애니메이션학과,2010,21,전공,애니메이션시나리오워크숍,4.0,A0,1,0.8571,1.0
12,영화애니메이션학과,2010,21,전공,애니메이션연출세미나,3.5,B+,1,0.7143,1.0
13,영화애니메이션학과,2011,11,전공,3D컴퓨터그래픽기초,3.5,B+,1,0.7143,1.0
14,영화애니메이션학과,2011,11,전공,각색각본실습,4.5,A+,1,1.0,1.0
15,영화애니메이션학과,2011,11,전공,동작표현연구,4.0,A0,1,0.8571,0.75
16,영화애니메이션학과,2011,11,전공,스타연구,4.0,A0,1,0.8571,1.0
17,영화애니메이션학과,2011,11,전공,장르연구,4.0,A0,1,0.8571,1.0
18,영화애니메이션학과,2011,21,전공,2D애니메이션2,4.0,A0,1,0.8571,1.0
19,영화애니메이션학과,2011,21,전공,2D애니메이션독립프로젝트2,3.5,B+,1,0.7143,1.0
20,영화애니메이션학과,2011,21,전공,멀티미디어애니메이션워크숍,4.0,A0,1,0.8571,1.0
21,사회체육학과,2010,11,전공,골프3,4.5,A+,1,1.0,1.0
22,사회체육학과,2010,11,전공,사회체육환경론,4.0,A0,1,0.8571,1.0
23,사회체육학과,2010,11,전공,테니스4,2.0,C0,1,0.2857,1.0
24,사회체육학과,2010,11,전공,평생체육론,2.0,C0,1,0.2857,1.0
25,사회체육학과,2012,21,전공,게이트볼,4.5,A+,1,1.0,1.0
26,사회체육학과,2012,21,전공,보디빌딩2,4.5,A+,1,1.0,1.0
27,사회체육학과,2012,21,전공,빙상1,4.5,A+,1,1.0,1.0
28,사회체육학과,2012,21,전공,스노우보드2,4.5,A+,1,1.0,1.0
29,사회체육학과,2012,21,전공,스포츠사업론,4.0,A0,1,0.8571,1.0
30,사회체육학과,2012,21,전공,스포츠의학,4.5,A+,1,1.0,1.0
31,사회체육학과,2012,21,전공,스포츠행정론,4.0,A0,1,0.8571,1.0
32,사회체육학과,2012,21,전공,운동역학,4.5,A+,1,1.0,1.0
