PID,DEPT,GRAYEAR,YEAR,TERM,DIV,SUBJ,SCORE_NUM,SCORE_STR,EMP,MM_all_subj,MM_per_subj
0,경영학과,202302,2014,10,전선,경영과컴퓨터,3.5,B+,0,0.7143,0.6
1,경영학과,202302,2014,10,전선,경영학원론,3.5,B+,0,0.7143,0.7143
2,경영학과,202302,2014,10,전선,경제학원론,2.5,C+,0,0.4286,0.3333
3,경영학과,202302,2014,20,전선,경영자료처리론,3.5,B+,0,0.7143,0.7143
4,경영학과,202302,2014,20,전선,조직행동론,3.5,B+,0,0.7143,0.6667
5,경영학과,202302,2014,20,전선,회계원리,3.5,B+,0,0.7143,0.7143
6,경영학과,202302,2015,10,전필,경영정보시스템,3.0,B0,0,0.5714,0.4
7,경영학과,202302,2015,10,전필,재무관리원론,4.0,A0,0,0.8571,0.8333
8,경영학과,202302,2015,20,전선,기업재무론,2.0,C0,0,0.2857,0.2857
9,경영학과,202302,2015,20,전선,마케팅전략,4.0,A0,0,0.8571,1.0
10,경영학과,202302,2015,20,전필,인적자원관리,2.5,C+,0,0.4286,0.0
11,경영학과,202302,2019,10,전선,경영의사결정론,2.5,C+,0,0.4286,0.0
12,경영학과,202302,2019,10,전선,리더십이론과실제,2.5,C+,0,0.4286,0.0
13,경영학과,202302,2019,10,전필,마케팅,3.5,B+,0,0.7143,0.6
14,경영학과,202302,2020,20,전선,경영분석,4.5,A+,0,1.0,1.0
15,경영학과,202302,2020,20,전선,경영시뮬레이션,4.0,A0,0,0.8571,0.75
16,경영학과,202302,2020,20,전선,디지털마케팅,4.5,A+,0,1.0,1.0
17,경영학과,202302,2020,20,전선,정보처리프로그래밍,4.0,A0,0,0.8571,1.0
18,경영학과,202302,2020,20,전필,생산관리,4.0,A0,0,0.8571,0.8333
19,경영학과,202302,2022,20,전선,벤처창업론,3.5,B+,0,0.7143,0.0
20,경영학과,202302,2022,20,전선,품질경영,2.5,C+,0,0.4286,0.0
21,회계학과,202302,2014,10,전선,생활속의회계정보,2.5,C+,1,0.4286,0.4286
22,회계학과,202302,2014,10,전선,회계원리,4.0,A0,1,0.8571,0.8333
23,회계학과,202302,2014,10,전선,회계의계량적기초,4.0,A0,1,0.8571,0.8
24,회계학과,202302,2014,20,전선,경제학원론,3.0,B0,1,0.5714,0.5
25,회계학과,202302,2014,20,전선,생활과세법,2.5,C+,1,0.4286,0.4286
26,회계학과,202302,2014,20,전선,재무회계,3.0,B0,1,0.5714,0.4
27,회계학과,202302,2015,10,전선,경영학원론,3.5,B+,1,0.7143,0.8
28,회계학과,202302,2015,10,전선,전산회계실무,2.0,C0,1,0.2857,0.0
29,회계학과,202302,2015,10,전필,원가회계,3.5,B+,1,0.7143,0.8
30,회계학과,202302,2015,10,전필,중급회계1,3.0,B0,1,0.5714,0.5714
31,회계학과,202302,2015,20,전필,관리회계,2.5,C+,1,0.4286,0.0
32,회계학과,202302,2015,20,전필,중급회계2,2.5,C+,1,0.4286,0.2
33,회계학과,202302,2021,10,전선,세무회계1,4.0,A0,1,0.8571,0.8
34,회계학과,202302,2021,20,전선,고급관리회계,2.0,C0,1,0.2857,0.0
35,회계학과,202302,2021,20,전선,세무회계2,2.5,C+,1,0.4286,0.0
36,회계학과,202302,2022,20,전선,세법2,3.5,B+,1,0.7143,0.8333
37,회계학과,202302,2022,20,전선,원가회계연습,2.5,C+,1,0.4286,0.0
38,회계학과,202302,2022,20,전선,전산회계운용,2.5,C+,1,0.4286,0.4286
39,회계학과,202302,2022,20,전선,회계사례연구,3.0,B0,1,0.5714,0.25
40,회계학과,202302,2022,20,전선,회계이론,2.5,C+,1,0.4286,0.2
41,회계학과,202302,2022,20,전선,회계학세미나,3.0,B0,1,0.5714,0.4
42,회계학과,202302,2014,10,전선,회계의계량적기초,2.5,C+,1,0.4286,0.2
43,회계학과,202302,2014,20,전선,경제학원론,2.0,C0,1,0.2857,0.0
44,회계학과,202302,2014,20,전선,생활과세법,2.5,C+,1,0.4286,0.4286
45,회계학과,202302,2014,20,전선,재무회계,2.5,C+,1,0.4286,0.2
46,회계학과,202302,2017,10,전선,전산회계실무,3.0,B0,1,0.5714,0.4
47,회계학과,202302,2017,10,전선,회계원리,3.5,B+,1,0.7143,0.6667
48,회계학과,202302,2017,10,전필,원가회계,3.0,B0,1,0.5714,0.6
49,회계학과,202302,2017,10,전필,중급회계1,3.0,B0,1,0.5714,0.5714
50,회계학과,202302,2017,20,전선,마케팅,2.5,C+,1,0.4286,0.3333
51,회계학과,202302,2017,20,전선,세법1,3.5,B+,1,0.7143,0.7143
52,회계학과,202302,2017,20,전필,관리회계,3.5,B+,1,0.7143,0.5
53,회계학과,202302,2018,10,전선,고급회계,2.5,C+,1,0.4286,0.0
54,회계학과,202302,2018,10,전선,생산관리,3.5,B+,1,0.7143,1.0
55,회계학과,202302,2018,10,전선,세법2,2.5,C+,1,0.4286,0.5
56,회계학과,202302,2018,10,전선,재무관리,2.5,C+,1,0.4286,0.0
57,회계학과,202302,2018,20,전선,인사조직론,2.5,C+,1,0.4286,0.0
58,회계학과,202302,2018,20,전선,통계학,2.5,C+,1,0.4286,0.0
59,회계학과,202302,2018,20,전필,세무회계,2.5,C+,1,0.4286,0.0
60,회계학과,202302,2018,20,전필,중급회계2,2.0,C0,1,0.2857,0.0
61,회계학과,202302,2020,10,전선,비영리회계,3.5,B+,1,0.7143,0.3333
62,회계학과,202302,2020,10,전선,세무회계1,2.5,C+,1,0.4286,0.2
63,회계학과,202302,2020,10,전선,전산세무회계,4.0,A0,1,0.8571,0.75
64,회계학과,202302,2020,10,전선,회계사례연구,4.5,A+,1,1.0,1.0
65,회계학과,202302,2020,10,전선,회계학연습,3.5,B+,1,0.7143,0.5
66,회계학과,202302,2022,20,전선,고급회계연습,3.5,B+,1,0.7143,0.0
67,회계학과,202302,2022,20,전선,세무회계2,2.5,C+,1,0.4286,0.0
